salutation,first_name,last_name,company_name,display_name,vendor_code,email_address,work_phone,mobile_number,company_abn,company_acn,currency,vendor_remarks,,registered_business,payment_term
Mr,John,Doe,Doe Traders,John Doe,V001,john@doe.com,441234567,9876543210,ABN12345,ACN67890,AUD,Good vendor,,,registered_business
Ms,Anna,William,AW Supplies,Anna W,V002,anna@aws.com,478123456,9876500011,ABN99887,ACN66221,AUD,Fast response,,,
Mrs,Lara,Smith,Smith Corp,Lara Smith,V003,lara@smith.com,422123456,9876001122,ABN11223,ACN99112,USD,Reliable,,,
Mr,Raj,Kumar,RK Enterprises,Raj Kumar,V004,raj@rk.com,445566778,9123456780,ABN55667,ACN44556,INR,Preferred vendor,,,
Mrs,Priya,Nair,PN Distributors,Priya N,V005,priya@pn.com,488990011,9877002211,ABN22334,ACN33445,INR,Bulk supplier,,,
Mr,Sam,Johnson,Johnson Wholesale,Sam J,V006,sam@jw.com,412334455,9876502200,ABN33322,ACN55112,AUD,New vendor,,,
Ms,Cathy,Brown,CB Retail,Cathy Brown,V007,cathy@cb.com,499001122,9877401100,ABN55443,ACN66789,AUD,Pending docs,,,
Mr,David,Lee,Lee Imports,David Lee,V008,david@li.com,433112299,9877711330,ABN66677,ACN77889,SGD,Imports specialist,,,
Ms,Meera,Joseph,MJ Global,Meera J,V009,meera@mj.com,425667788,9877889900,ABN11993,ACN00221,INR,High quality,,,
Mr,Tom,Hardy,Hardy Traders,Tom Hardy,V010,tom@ht.com,448001122,9877991100,ABN66778,ACN88991,USD,Top rated,,,
